# rbin[h-1Mpc]	xi_2d	xi_2d_err
1.216041790051606009e-01 1.873751171550704253e+00 2.269136329476924008e-01
1.798231081702613698e-01 1.526716923808846049e+00 2.102461461521321351e-01
2.659147941835226514e-01 1.009441160587076336e+00 1.501767580997250273e-01
3.932235321987339605e-01 7.207960804114201814e-01 1.138727693252647166e-01
5.814823005602824946e-01 4.028144790389127650e-01 8.677204850932031255e-02
8.598714510570316660e-01 2.423076594494973368e-01 7.782766302646595968e-02
1.271541385664771040e+00 1.089679444337416508e-01 6.210497419204281250e-02
1.880301532463425129e+00 8.146181320740711329e-02 5.486921929625952765e-02
2.780510247518134914e+00 5.562296081748312193e-02 5.407165161525190333e-02
