4103.31077 217.19679 -77.75068 101.53097 87.44524 57.62228 3.25187 75.27149 20.84947 31.50326
217.19679 3207.04244 61.57505 28.29519 170.74854 125.81481 -110.86323 -14.62377 -4.34892 -26.06999
-77.75068 61.57505 2495.87235 71.71900 25.79713 -12.37562 -15.45313 -27.43572 -1.99632 0.22016
101.53097 28.29519 71.71900 856.62303 -17.77070 7.05375 13.02770 -9.71327 -3.13939 2.28774
87.44524 170.74854 25.79713 -17.77070 454.66015 9.96691 -12.59435 4.64573 -25.51784 -3.60891
57.62228 125.81481 -12.37562 7.05375 9.96691 237.02008 -13.37708 -1.52961 -3.45177 -1.91873
3.25187 -110.86323 -15.45313 13.02770 -12.59435 -13.37708 130.52097 2.14950 4.10929 1.81520
75.27149 -14.62377 -27.43572 -9.71327 4.64573 -1.52961 2.14950 64.48965 -4.98547 -2.70192
20.84947 -4.34892 -1.99632 -3.13939 -25.51784 -3.45177 4.10929 -4.98547 39.19117 -1.49684
31.50326 -26.06999 0.22016 2.28774 -3.60891 -1.91873 1.81520 -2.70192 -1.49684 21.00881
