# rbin[h-1 Mpc] 	 delta_sigma 	 delta_sigma_err
1.174641000000000018e-01 1.518059970025821315e+02 6.405708992765750054e+01
1.584924000000000055e-01 1.937079896171920552e+02 5.663075524836305874e+01
2.138510000000000133e-01 1.313161400424308738e+02 4.995870644842598551e+01
2.885455000000000103e-01 1.097630329611117901e+02 2.926812310347214563e+01
3.893294999999999950e-01 1.020440301904026086e+02 2.132276131273808417e+01
5.253155999999999937e-01 9.992368770955035018e+01 1.539545647260905348e+01
7.087993000000000210e-01 7.639206848414249862e+01 1.142457745389298829e+01
9.563707999999999654e-01 5.156298114679380262e+01 8.030544813398403647e+00
1.290415000000000090e+00 5.264464951823988770e+01 6.260285137276096812e+00
1.741133999999999959e+00 2.399482369658698744e+01 4.583536843966676599e+00
